,Recipe,step-1,trange-1,step-2,trange-2,step-3,trange-3,step-4,trange-4,step-5,trange-5,step-6,trange-6,step-7,trange-7,step-8,trange-8,step-9,trange-9,step-10,trange-10,step-11,trange-11,step-12,trange-12,step-13,trange-13,step-14,trange-14,step-15,trange-15,step-16,trange-16,step-17,trange-17,step-18,trange-18,step-19,trange-19,step-20,trange-20,step-21,trange-21,step-22,trange-22,step-23,trange-23,step-24,trange-24,step-25,trange-25,step-26,trange-26,step-27,trange-27,step-28,trange-28,step-29,trange-29,step-30,trange-30,step-31,trange-31,step-32,trange-32,step-33,trange-33,step-34,trange-34,step-35,trange-35,step-36,trange-36,step-37,trange-37,step-38,trange-38,step-39,trange-39,step-40,trange-40,step-41,trange-41,step-42,trange-42,step-43,trange-43,step-44,trange-44,step-45,trange-45,step-46,trange-46,step-47,trange-47,step-48,trange-48,step-49,trange-49,step-50,trange-50,step-51,trange-51,step-52,trange-52
2111,kiano-s-potato-bhajias,"in a large bowl, combine the chickpea flour, rice flour, cilantro, serrano peppers, ginger, garlic, salt, and water.","11,92",stir with a rubber spatula until smooth.,"93,160",heat 1 inch (2 cm) of oil in a deep skillet over medium-high heat until it reaches 350˚f (180˚c).,"-1,-1","working in batches, add the potatoes to the batter and toss to coat.","-1,-1","in batches, transfer the battered potatoes to the hot oil and fry until golden brown, flipping occasionally.","161,205",drain the fried potatoes on paper towels.,"206,216",serve hot with tomato chutney or your chutney of choice.,"217,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,kickstarter-fire-avocado-toast-aries,scoop the avocado into a medium bowl.,"1,13",season with salt and add the tabasco.,"14,36",mash until smooth.,"37,67",spread the avocado on the slice of toast.,"68,87",sprinkle with the red pepper flakes and top with the fried egg.,"88,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,kid-friendly-vegan-pancakes,preheat oven to 400ºf (200ºc),"-1,-1","in a medium bowl, add the flour, sugar, baking powder, and salt, and stir to combine.","1,37","in a medium bowl or liquid measuring cup, add almond milk, apple cider vinegar, and vanilla, and stir to combine.","38,60",let it sit for 5-7 minutes.,"61,65",pour the liquid mixture into the dry mixture and whisk until smooth.,"66,93",let batter rest for 5 minutes.,"94,100","pour the batter onto a baking sheet covered with parchment paper, smooth batter out so it is even on all sides.","101,129",add toppings of your choice,"130,144",bake for 15 minutes,"145,149",freeze for up to 1 month or serve warm with maple syrup.,"179,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,kimchi-quesadillas,drain kimchi and roughly chop.,"1,44",add butter to a large skillet over medium-high heat.,"45,58","when melted, add kimchi.","59,71",cook and stir for about 6 minutes until the edges of the kimchi start to turn a golden brown.,"72,117",transfer to a bowl and let it cool down.,"118,133","add the kimchi, cheese, and sesame seeds to a tortilla.","134,214",fold the tortilla in half.,"215,225",pour oil into a large skillet over medium heat.,"226,238","fry the quesadilla for about two minutes on each side, or until the tortilla has turned a golden brown and the cheese has melted.","239,294",serve with a garnish of diced green onions and sesame seeds.,"295,317",slice into quarters.,"318,329","note: experiment with proteins by adding beef, pork, or chicken to the quesadillas.","-1,-1","for even more of a korean influence, try adding korean bbq-style proteins!","-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,kimchi-queso,"chop kimchi and place in bowl, set aside.","1,65","in a medium saucepan, melt cheddar cheese part way (until it’s mostly soft but still clumpy).","66,118",add the sour cream.,"119,135",melt and stir until the mixture is smooth.,"136,154",add the red pepper powder and stir until evenly integrated.,"155,187",add kimchi and simmer until evenly mixed and smooth.,"188,232","the liquid from the kimchi may give the appearance that the queso is chunky, continue heating and stirring 5-10 minutes and it will smooth out.","233,239",serve garnished with chopped green onion.,"240,309","goes great with chips, raw vegetables, or straight into the mouth via spoon.","310,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,kiwi-and-lime-prosecco,crush the kiwi and lime juice in a jug.,"1,17",add in simple syrup and stir.,"18,47",serve ¼ of the fruit mix in a glass and add 1 shot of vodka.,"48,75",top up with ice cubes and prosecco and garnish.,"76,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,kiwi-apple-banana-freezer-prep-smoothie,mix fruits together in a plastic bag.,"1,19",seal bag and place in freezer for up to 6 months.,"20,41","when ready, mix milk and fruit in a blender until consistency is smooth.","-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,kiwi-banana-spinach-smoothie-meal-prep,put fruit in a freezer bag.,"-1,-1",seal and store in freezer for up to 8-12 months.,"-1,-1","when ready to use, put milk and spinach into the blender first.","1,15",blend until the spinach is fully incorporated into the milk.,"16,29",then add greek yogurt and frozen fruit and mix until consistency is smooth.,"30,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,kiwi-salsa,mix all ingredients together in a large bowl.,"10,99",serve with chips or as a topping on your favorite meal.,"100,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,kiwi-sorbet,blend all ingredients in a food processor or high-speed blender until thoroughly combined.,"1,36",pour into a rectangular loaf pan and smooth into an even layer.,"37,82","freeze for 2 hours, or until frozen but still a little soft for scooping.","83,94","(if freezing overnight, cover with a lid or plastic wrap, but let it sit out at room temperature for about 5-10 minutes before scooping.)","-1,-1",scoop into a bowl.,"95,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,kiwi-strawberry-popsicles,cut kiwis and strawberries into thin slices.,"1,34","remove kiwi skin, and discard strawberry tops.","35,54",fill the popsicle mold with the fruit.,"55,89",fill in the gaps of air with water.,"90,98",freeze the popsicles for at least 5 hours.,"-1,-1",take the frozen popsicles out of the ice molds and enjoy!,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,kkwabaegi,"in a large bowl, whisk together the warm milk, butter, and sugar.","1,48","add the yeast and let the mixture sit for 10 minutes, until it becomes foamy.","49,62",add the salt and egg and whisk to combine.,"63,92",add the flour.,"93,121",mix with a spatula until the dough starts to come together.,"122,138",knead the dough on a floured surface for 3-5 minutes.,"139,189","drizzle a bit of oil into the bowl, then add the dough.","190,216","cover with a cloth or plastic wrap and let rest in warm place for 1 hour, or until the dough doubles in size.","217,226","sprinkle the dough with a bit of flour, then punch down to release the gas and knead it for a few minutes until the dough is soft and smooth.","227,256","cover again and let it sit for another 30 minutes, or doubled in size again.","257,268",heat oil in a deep skillet over medium-high heat until it reaches to 350°f (180°c).,"460,465","transfer the dough to a clean surface, sprinkle with a bit of flour, and knead for 3-5 minutes, or until you have a soft, shiny, slightly sticky dough.","269,328",divide the dough into 12 equal parts and roll into balls.,"329,355",set the balls on a plate and cover with plastic wrap.,"356,361","working one at a time, roll a ball of dough out on your cutting board so it forms a rope 10-inches (25 cm) long and ½-inch (1 cm) in diameter.","362,393",place a hand on either end of the dough rope.,"394,394",move one hand upward and the other downward so that the rope becomes twisted in between your hands as you roll it.,"395,415","lift the dough, joining the 2 ends together to seal.","416,417",the tension in the dough will twist it as it hangs.,"418,430","add more twists, if desired.","-1,-1",repeat with the remaining dough pieces.,"-1,-1","allow the doughnuts to rise for 30 minutes on a tray or cutting board, flipping halfway.","431,459",reduce the heat under the skillet to medium.,"-1,-1",gently lower each doughnut into the hot oil.,"466,479","fry for 5 minutes, or until golden brown.","-1,-1",occasionally flip doughnuts over to ensure they are even in color.,"480,501",drain on a wire rack.,"502,527","in a small bowl, mix together 1 cup (200 g) of sugar and 2 tablespoons of cinnamon","-1,-1","distribute mixture onto a plate, and roll the doughnuts in the cinnamon sugar.","528,565",serve warm.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,korean-style-bbq-beef,"slice the beef as thinly as you can, then set aside in a large bowl.","1,33",having frozen or cold beef makes the slicing easier.,"-1,-1","in a blender or food processor, blend the onion chunks, garlic, pear, spring onion pieces, brown sugar, pepper, soy sauce, and sesame oil until smooth.","34,107","pour the marinade over the beef, add the onions, then mix evenly.","108,172",cover with cling film and marinate for at least 30 minutes in the fridge.,"173,196",heat canola oil in a skillet over high heat.,"197,198","being careful not to crowd the pan, sear the marinated beef and onions until browned, then sprinkle with the spring onions and sesame seeds.","199,279",serve with the rice and side dishes!,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,korean-style-ribs,combine marinade ingredients in a bowl.,"1,55",pour marinade over ribs and let them marinate for at least four hours.,"56,87","after marinating, place ribs on baking dish.","88,108",reserve the marinade for later.,"-1,-1",bake ribs at 325°f (160°c) for two and a half to three hours.,"109,116","pour the leftover marinade into a saucepan, add the honey, and bring to a boil to form a glaze.","117,149",set aside.,"150,154","after two and half to three hours, remove the ribs from the oven.","155,159",pour the glaze over the ribs and broil for 5 to 10 minutes.,"160,177","cut up the ribs, sprinkle sesame seeds over, and garnish with scallions.","178,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,korean-tornado-potatoes,"in a small bowl, mix together the parmesan cheese, korean red pepper, sugar, and ramen seasoning.","8,45",cut the potatoes into ribboned curls using the ribbon blade on a spiralizer.,"46,86","if you don’t have a spiralizer, insert a skewer into each potato and, working in a spiral motion, cut in the opposite direction you are turning the skewered potato, making a thin, even spiral all the way down the potato.","-1,-1",a spiralizer is recommended.,"-1,-1","gather the potato curls together, then wrap each curl around a wooden skewer, spacing out the potato evenly.","87,118",set aside to dry for 5 minutes.,"-1,-1",heat the canola oil in a deep pot until it reaches 350ºf (180ºc).,"-1,-1","fry the potatoes until golden brown, 3-5 minutes, then drain on a paper towel-lined baking sheet.","119,164","while the tornado potatoes are still hot, season with salt and sprinkle with the cheese mixture.","165,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,kung-pao-cauliflower-bites,preheat the oven to 450ºf (230ºc).,"-1,-1",line a baking sheet with parchment paper.,"-1,-1","in a large bowl, combine the flour, baking soda, and soy milk, and whisk until smooth.","24,81",add the cauliflower florets to the batter and toss until fully coated.,"82,124","transfer the coated cauliflower to the baking sheet and bake for 10 minutes, or until the coating looks dry.","125,176","meanwhile, in a medium saucepan over high heat, combine the soy sauce, agave, sesame oil, rice vinegar, garlic, ginger, and cornstarch, and stir until the mixture comes to a boil.","177,264",turn off the heat and let sit for 10 minutes to thicken.,"-1,-1",remove the cauliflower from the oven and transfer to a large bowl to cool for 5 minutes.,"265,302",leave the oven on.,"-1,-1","add the sauce to the bowl and toss the cauliflower until completely coated, then return to a parchment-lined baking sheet and bake for another 10 minutes.","304,412","top the cauliflower with chives and sesame seeds, and serve over rice, if desired.","413,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,kung-pao-chicken,"in a medium bowl, combine chicken with all the marinade ingredients in a bowl.","1,53",let marinate for at least 10 minutes.,"54,62","in an oiled pan, cook chicken on medium-high heat until cooked through on both sides.","63,106",remove from pan.,"107,119","add sesame oil, zucchini, and red pepper, and sauté in pan for 3 minutes.","120,162",add peanuts and sauté for another 3 minutes.,"163,183","add dried chilies, garlic, ginger, and green onion, and sauté until vegetables are tender.","184,236","add chicken, soy sauce, rice vinegar, sugar, and cornstarch slurry, and sauté until well mixed.","237,362",garnish with more green onion and serve with rice.,"363,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,lamb-biryani,soak the rice in 2 cups (480 ml) of water for about 2 hours.,"31,56","add the chopped onion, 2 tablespoons slivered almonds, garlic, ginger, and 3 tablespoons of water to a food processor.","57,99",blend into a paste.,"100,115",heat the oil in a large nonstick pan over medium heat.,"116,126","add the sliced onions and fry until browned and crisp, about 10 minutes.","127,164",remove from the pan with a slotted spoon and drain on paper towels.,"165,188",add the raisins to the pan.,"189,197","stir until they become plump, about 2 minutes, then remove and drain on paper towels.","198,225","add the lamb to the pan, in batches if necessary, and brown on all sides, about 5 minutes.","226,263",transfer the browned meat to a bowl and set aside.,"264,282",reduce the heat to medium.,"-1,-1",add the onion paste to the pan.,"283,294","cook, stirring constantly, until the paste turns light brown.","295,337","if it sticks to the bottom of the pan, add a bit of water and keep stirring.","-1,-1",return the meat and any accumulated juices to the pan.,"338,364","add 1¼ teaspoons of salt, the yogurt, and 1 cup (240 ml) of water.","365,407","cover, reduce the heat to low, and simmer for 30 minutes.","408,416",add the saffron threads to a small bowl with the milk and set aside.,"417,446",bring a large pot of water to boil and add 1½ tablespoons of salt.,"447,454",drain the rice and add to pot.,"455,462","boil for 5 minutes, then immediately drain and rinse.","463,480","in a spice grinder or mortar and pestle, finely grind the cinnamon stick, cloves, peppercorns, cardamon, coriander, and cumin.","481,550","add the spices to the meat, along with the nutmeg and cayenne.","551,575","cover and continue cooking until the meat is tender, about 10 minutes.","576,606","if there is too much sauce, increase the heat to high, uncover, and stir to evaporate some of the liquid (there should about 1 cup (240 g) of sauce left in the meat).","-1,-1",preheat the oven to 300˚f (150˚c).,"-1,-1","in a large dutch oven or deep casserole dish, layer half of the rice, the meat with its sauce, and the rest of the rice.","607,667",squeeze the lemon juice over rice.,"668,683","using the end of a wooden spoon, poke holes all the way through the layers.","684,702",spoon a bit of the saffron and milk into each hole.,"728,738","distribute the butter over the rice and sprinkle over most of the fried onions, reserving some for garnish.","739,770","cover the dish with foil, then top with a lid.","771,782",bake for 1 hour.,"783,789",remove the biriyani from the oven and set aside for at least 15 minutes.,"790,802","garnish with the eggs, raisins, remaining 3 tablespoons of slivered almonds, reserved fried onions, and cilantro.","803,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,larb-as-made-by-aria,place 3 cups (690 g) thai sticky rice in a medium bowl and cover with cold water by at least 1 inch (2 ½ cm).,"17,39",cover with plastic wrap and soak overnight at room temperature.,"40,49","after the rice has soaked, drain and set aside.","-1,-1",fill the large pot with 3 inches (7 cm) of water and bring to a steady simmer over medium-high heat.,"-1,-1",cut out a circle of parchment paper large enough to line the steamer insert and come 2 inches (5 cm) up the sides.,"-1,-1","place the parchment in the insert, add the rice, and spread in an even layer.","50,74","place the insert in the pot, cover with the lid, and steam until the rice is translucent and tender, 20-30 minutes.","75,130","turn off the heat, but keep the rice covered so it stays warm while you prepare the larb.","-1,-1","toast the remaining ⅓ cup (75 g) rice in a small pan over medium-high heat, stirring constantly, until light golden brown, about 5 minutes.","-1,-1",immediately pour the rice into a small bowl and let cool completely.,"131,148",grind the toasted rice in a spice grinder or mortar and pestle until finely ground.,"149,248",set aside.,"-1,-1",heat the chicken stock in a wok or large pan over medium heat.,"249,273","once the stock is steaming, add the pork.","274,287","break up the meat with a wooden spoon and cook gently, stirring occasionally, until just cooked through and no longer pink, 8-10 minutes.","288,343","turn off the heat and stir in the garlic, shallots, lemongrass, and galangal.","344,463","add the fish sauce, lime juice, chiles, scallions, mint, cilantro, and toasted rice to the pork mixture and stir to combine.","464,655","season with more fish sauce, if desired.","-1,-1","serve the larb with the sticky rice, cabbage leaves, cucumbers, bean sprouts, and lime wedges.","656,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130,lardy-cake-monkey-bread,"in a large bowl, combine bread flour, sugar, and butter.","1,29","use your hands to mix, until the mixture is the texture of breadcrumbs.","30,54","in a small jar, stir together the milk, yeast, and eggs.","55,80",pour three quarters of the liquid mixture on top of the dry ingredients and mix together.,"81,95","add liquid, a tablespoon at a time, until the mixture forms a soft dough.","96,103","turn the mixture out onto a large, floured surface and knead for 10 minutes.","104,155",form the dough into a ball and place it in a clean mixing bowl covered with cling film.,"156,184","set in a warm, dry place and let it rise for one hour.","185,193","combine the raisins and the hot tea in a small bowl and let the mixture sit for 45 minutes, then drain the raisins.","194,233","when the dough has risen, divide it into 16 equal sized pieces.","234,250","flatten each piece into a disk about 8cm in diameter, and place a teaspoon of cream cheese and a teaspoon of raisins in the centre.","251,276","form the disk into a ball, with the sultanas and cream cheese in the centre.","277,285","roll each ball in caster sugar, to coat.","286,293",place stuffed balls of dough into a cast iron skillet or round baking dish and cover with cling film.,"294,309","set in a warm, dry place and let it rise for one hour.","310,312","bake in a 350°f/180°c fan oven/gas mark 6 for 45 to 50 minutes, until the bread is cooked through and golden on top.","313,322","while the bread cooks, make the glaze.","-1,-1","stir together icing sugar, cream cheese, and milk to combine.","323,368","if the mixture is too dry, add more milk a tablespoon at a time.","-1,-1",drizzle it all over the monkey bread.,"369,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,lasagna-chips-and-dip,"cook the noodles according to package directions, omitting salt.","-1,-1",drain well and separate the noodles carefully.,"-1,-1",cut the noodles into triangles and transfer to baking sheet.,"1,53","in a small bowl, combine the water and 2 tablespoons of olive oil.","54,65",brush on both sides of noodles.,"66,98","combine 2 teaspoons of salt, the dried oregano, dried basil, paprika, and garlic powder in a small bowl, and mix to combine.","99,130",sprinkle the seasoning mixture and ⅓ cup (35 g) of parmesan cheese over the noodles.,"131,170",set aside.,"171,171",heat the remaining tablespoon of olive oil and the butter in a large skillet over medium-high heat.,"172,190","add the minced onion, carrot, and celery.","191,214","cook, stirring occasionally, until golden brown, 5-10 minutes.","215,232","once the vegetables have caramelized, add the ground beef, italian sausage, ½ teaspoon of salt, ¼ teaspoon of pepper, and the tomato paste.","233,271","stir to combine, breaking up the meat.","272,287","cook until the meat has browned, 15-20 minutes.","288,297",add the red wine.,"298,326","bring the sauce to a simmer, cover with a lid, and cook for 30 minutes, stirring occasionally, then set aside.","327,355",preheat the oven to 400°f (200°c).,"-1,-1","in a large bowl, mix together the ricotta, spinach, fresh basil, remaining cup of parmesan cheese, remaining teaspoon of salt, and remaining ½ teaspoon of pepper.","356,411",spread half of the meat sauce in the bottom of an ovenproof dish.,"412,438",gently spread the ricotta cheese over the sauce.,"439,466",spoon the remaining meat sauce over the ricotta and sprinkle mozzarella cheese on top.,"467,520","bake the noodles and layered dip for 12 minutes, or until the cheese is melted and the noodle chips are crispy.","533,547","sprinkle more parmesan cheese on top of noodle chips, if desired.","548,578","sprinkle parsley on top of dip, if desired.","598,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,lasagna-dome,preheat the oven to 375°f (190°c).,"-1,-1",heat 2 tablespoons of olive oil in a large pot over high heat.,"21,31",add the onion and garlic.,"32,66","cook until starting to brown, stirring occasionally, 3-4 minutes.","-1,-1","add the beef, salt, and pepper.","67,91","cook until all of the moisture has evaporated and the meat is starting to brown on the edges, breaking the meat up as you stir, 10-12 minutes.","92,115","add the tomato sauce and tomato paste, then reduce the heat to medium and bring the sauce to a simmer.","116,148","cook it down until the mixture becomes thick, about 15 minutes.","149,166",remove the pot from the heat and set aside.,"-1,-1","in a small bowl, combine the ricotta, basil, egg, and parmesan.","167,198",stir until smooth.,"199,215",set aside.,"-1,-1","grease a large oven-safe metal bowl with the remaining tablespoon of olive oil, then lay about 25 lasagna noodles along the sides and bottom of the bowl, fanning them out in an overlapping pattern.","216,256",the ends of the noodles should hang over the sides of the bowl.,"257,295",slice the remaining lasagna noodles in half crosswise.,"-1,-1",these will serve as the layers between the meat and the cheese mixtures.,"-1,-1",sprinkle half of the mozzarella into the bottom of the bowl on top of the noodles.,"296,311",this will help bind the noodles together when cooked.,"-1,-1","spread half of the meat mixture evenly over the mozzarella, then lay half of the cut noodles over the sauce","312,331","spread all of the ricotta mixture over the noodles, then layer with the rest of the noodles, then the rest of the mozzarella, and the rest of the meat sauce.","332,409","fold the edges of the lasagna noodles hanging over the sides of the bowl back towards the center, creating another overlapping pattern.","410,433","cover with foil and bake for about 45 minutes, until cooked through.","434,438","meanwhile, make the béchamel: in a saucepan over medium heat, melt the butter.","439,447","add the flour and cook, whisking continuously, for about 2 minutes until a paste forms.","448,461",add the hot milk and continue to whisk as the sauce thickens and comes to a boil.,"462,494",season with salt and pepper and add the parmesan.,"495,524","reduce the heat to low, and cook, still whisking, for 2-3 minutes more.","525,537",invert the lasagna dome onto a cutting board.,"538,572",pour the béchamel sauce over the dome and top with basil.,"573,632","slice the dome, then top with more parmesan and basil, if desired.","633,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,lasagna-party-ring,preheat oven to 375°f (190°c).,"-1,-1","in a large pot over high heat, add oil, onions, and garlic, and cook until they begin to brown, stirring occasionally, about 3-4 minutes.","27,49","add the beef, sausage, salt, and pepper, cooking until all of the moisture has evaporated and the meat is starting to brown on the edges, breaking the meat up as you stir, about 10-12 minutes.","50,98","add the tomato sauce, then reduce heat to medium, and bring to a high a simmer, cooking the sauce down until the mixture becomes extremely thick, almost paste-like, about 30 minutes.","99,147",remove from heat and set aside.,"148,156","in a bowl, combine the ricotta, parmesan, basil, and egg, mixing until smooth.","157,199",set aside.,"200,203",slice 6 of the lasagna noodles in half.,"204,229",these will serve as the layers in between the meat and the cheese mixture.,"-1,-1","spray a bundt pan with nonstick cooking spray, then lay about 10-12 noodles into the bottom of the pan, fanning them out in an overlapping pattern.","230,252","one end of the noodles should be just as tall as the center of the pan, and the other end of the noodles should hang over the sides of the pan.","253,253",sprinkle half of the mozzarella into the bottom of the pan on top of the noodles.,"254,264",this will help bind the noodles together when cooked.,"-1,-1","spread half of the meat mixture evenly in a ring over the top of the mozzarella, then lay half of the cut noodle pieces over the top to create a noodle layer.","265,293","spread all of the ricotta mixture over the noodles in an even ring, then layer with the rest of the noodles and the rest of the meat sauce.","294,326","fold the edges of the lasagna noodles hanging over the sides of the pan back towards the center, creating another overlapping pattern.","327,371",sprinkle the rest of the mozzarella evenly on top.,"372,379","bake for approximately 45 minutes, or until the cheese is a deep golden brown.","380,396","cool for about an hour, then carefully invert the ring onto a cutting board.","397,425","slice the ring, then top with any extra parmesan and basil.","426,481","place a small bowl filled with marinara at the center of the ring, for dipping.","482,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,lasagna-poppers,coat a 10-inch (25 cm) frying pan with olive oil.,"-1,-1","add minced garlic and chopped onion, stirring consistently until lightly browned.","1,21","add ground beef, and stir to mix with onion and garlic.","22,54",once beef has begun to brown and water has been released drain water and fat then continue cooking until beef begins to brown and become tender and crispy.,"55,59",add marinara sauce and mix together.,"60,78","sprinkle salt and pepper to taste, remove heat.","79,102",add mozzarella.,"103,108",stir until mozzarella binds to mixture.,"109,131","while mixture cools boil four cups of water in medium pot and add lasagna noodles, lay them in across each other in a star formation so they do not bind together, stir regularly.","132,160",after eight to 10 minutes drain pasta and allow to cool for five minutes.,"-1,-1",cut noodles down to 3- to 4-inch (8-10cm) slices and place mixture inside and roll.,"161,221",place poppers in freezer for 12 minutes.,"222,228","dip poppers in egg wash, flour, and bread crumbs, then once more in the egg wash and bread crumbs.","229,291",freeze for additional 12 minutes.,"292,301",heat 3–4 inches (8-10cm) of canola oil at medium heat in a pot for 15 minutes — test by splashing drops of water into oil (it should sizzle).,"-1,-1","place poppers in oil three or four at a time until they are golden brown on all sides, allow them to cool for 10–12 minutes and serve with marinara sauce as dip.","302,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,lasagna-roses,preheat oven to 375˚f (190˚c).,"-1,-1",heat olive oil in a large pot over medium heat.,"21,37",add onions and garlic.,"38,51",cook until softened.,"52,72","add the ground beef, breaking it apart with a spoon, and stir until browned.","73,86","add the sausage, breaking it apart with a spoon, and stir until browned.","87,103","mix in 2 tablespoons of the parmesan, salt, pepper, 3 tablespoons basil, and 2 tablespoons parsley, and stir to combine.","104,142",add 2 cups (520 g) of the tomato sauce and the tomato paste.,"143,158",continue stirring until the meat sauce is bubbling.,"159,190","reduce heat to low, and cover the pot, simmering for 45 minutes.","191,201","mix together the ricotta, 2 tablespoons parsley, and 2 tablespoons basil.","202,255",place one of the lasagna noodles on a cutting board and cut in half crosswise.,"256,273",set one half of the noodle aside for later.,"274,287",evenly spread about 2 tablespoons of the ricotta mixture over the noodle half.,"288,308",sprinkle 1 tablespoon mozzarella over the noodle.,"309,319",starting from the cut end of the noodle roll upward being careful not to squeeze the mixture out of the noodle.,"320,352",repeat with the remaining noodles.,"-1,-1",place the spiral lasagna noodle in a greased muffin tin.,"353,364",sprinkle about 3 tablespoons mozzarella around the noodle spiral.,"365,378",pour 3 tablespoons of the meat sauce over the mozzarella around the noodle spiral.,"379,410","place the other half of the lasagna noodle on a cutting board, and cut it lengthwise.","411,428","starting from the end of the noodle spiral, tuck the noodle strip into the spiral so the end of noodle spiral is on the outside.","-1,-1",wrap the noodle strip around the spiral while pushing it into the meat sauce.,"429,454",repeat with the other noodle strip.,"-1,-1",pour about 2 tablespoons of the sauce in between the noodle “petals”.,"455,472",sprinkle with about 1 tablespoon of both mozzarella and parmesan.,"473,499","bake for about 30 minutes, until the top of the noodles are golden and crispy.","500,510",let cool for about 5 minutes before removing from muffin tin.,"511,560",serve over tomato sauce.,"561,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,lasagna-soup,"in a large pot, heat the olive oil over medium heat.","1,6","once the oil begins to shimmer, add the onion and cook for 3-4 minutes, until semi-translucent.","7,21","add the garlic, tomato paste, basil, and oregano, and cook for 2-3 more minutes, or until the onions are translucent and herbs are fragrant.","22,61","add the crushed tomatoes, vegetable broth, and lentils, and bring to a boil.","62,110",increase heat to medium-high and cook for 10 minutes or until lentils are halfway tender.,"111,126",break apart the lasagna noodles into about 2-inch-long (5-cm) pieces and add to the pot.,"127,170","let the soup cook for another 10-15 minutes, or until the pasta is al dente and the lentils are tender.","171,191","stir in the spinach and let wilt, then serve immediately.","192,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
